Country,Region,GDP_USD_billions
World,,105568.78
United States,Americas,26854.6
China,Asia,19373.59
Japan,Asia,4409.74
Germany,Europe,4308.85
India,Asia,3736.88
United Kingdom,Europe,3158.94
France,Europe,2923.49
Italy,Europe,2169.74
Canada,Americas,2089.67
Brazil,Americas,2081.24
Russia,Europe,2062.65
South Korea,Asia,1721.91
Australia,Oceania,1707.55
Mexico,Americas,1663.16
Spain,Europe,1492.43
Indonesia,Asia,1391.78
Netherlands,Europe,1080.88
Saudi Arabia,Asia,1061.9
Turkey,Asia,1029.3
Switzerland,Europe,869.6
Taiwan,Asia,790.73
Poland,Europe,748.89
Argentina,Americas,641.1
Belgium,Europe,624.25
Sweden,Europe,599.05
Ireland,Europe,594.1
Thailand,Asia,574.23
Norway,Europe,554.1
Israel,Asia,539.22
Singapore,Asia,515.55
Austria,Europe,515.2
Nigeria,Africa,506.6
United Arab Emirates,Asia,498.98
Vietnam,Asia,449.09
Malaysia,Asia,447.03
Philippines,Asia,440.9
Bangladesh,Asia,420.52
Denmark,Europe,405.63
South Africa,Africa,399.02
Hong Kong,Asia,382.85
Egypt,Africa,378.11
Pakistan,Asia,
Iran,Asia,367.97
Chile,Americas,358.56
Romania,Europe,348.9
Colombia,Americas,334.69
Czech Republic,Europe,330.48
Finland,Europe,301.67
Peru,Americas,268.24
Iraq,Asia,267.89
Portugal,Europe,267.72
New Zealand,Oceania,251.97
Kazakhstan,Asia,245.7
Greece,Europe,239.3
Qatar,Asia,219.57
Algeria,Africa,206.01
Hungary,Europe,188.5
Kuwait,Asia,164.71
Ethiopia,Africa,156.08
Ukraine,Europe,148.71
Morocco,Africa,138.78
Slovakia,Europe,127.53
Ecuador,Americas,121.29
Dominican Republic,Americas,121.29
Puerto Rico,Americas,120.84
Kenya,Africa,118.13
Angola,Africa,117.88
Cuba,Americas,
Oman,Asia,104.9
Guatemala,Americas,102.31
Bulgaria,Europe,100.64
Venezuela,Americas,96.63
Uzbekistan,Asia,92.33
Luxembourg,Europe,86.97
Tanzania,Africa,85.42
Turkmenistan,Asia,82.65
Croatia,Europe,78.88
Lithuania,Europe,78.35
Costa Rica,Americas,77.78
Uruguay,Americas,77.31
Panama,Americas,77.26
Ivory Coast,Africa,77.05
Sri Lanka,Asia,
Serbia,Europe,73.96
Belarus,Europe,73.54
Azerbaijan,Asia,70.03
DR Congo,Africa,69.47
Slovenia,Europe,68.11
Ghana,Africa,66.62
Myanmar,Asia,63.99
Jordan,Asia,52.06
