car_model,year_of_manufacture,price,fuel
Alto 800,2017-01-01,4253.73,Petrol
Ciaz,2015-01-01,10223.88,Diesel
Ciaz,2015-01-01,11194.03,Petrol
Ertiga,2015-01-01,9104.48,Petrol
Dzire,2009-01-01,3358.21,Petrol
Ertiga,2016-01-01,11567.16,Diesel
Ertiga,2015-01-01,10820.9,Diesel
Ertiga,2016-01-01,11567.16,Diesel
Wagon R,2015-01-01,4850.75,CNG
Sx4,2010-01-01,3955.22,Petrol
Ritz,2014-01-01,5000.0,Petrol
Sx4,2013-01-01,7089.55,Diesel
Ciaz,2017-01-01,10820.9,Petrol
Wagon R,2011-01-01,4253.73,Petrol
Swift,2014-01-01,6865.67,Diesel
Vitara Brezza,2018-01-01,13805.97,Diesel
Ciaz,2015-01-01,10074.63,Petrol
S Cross,2015-01-01,9701.49,Diesel
Ciaz,2016-01-01,13059.7,Diesel
Ciaz,2015-01-01,11119.4,Diesel
Alto K10,2016-01-01,4253.73,Petrol
Ignis,2017-01-01,7313.43,Petrol
Sx4,2011-01-01,6567.16,Petrol
Alto K10,2014-01-01,3731.34,Petrol
Wagon R,2013-01-01,4328.36,Petrol
Swift,2011-01-01,4477.61,Petrol
Swift,2013-01-01,6194.03,Petrol
Swift,2017-01-01,8955.22,Petrol
Alto K10,2010-01-01,2910.45,Petrol
Ciaz,2015-01-01,11119.4,Diesel
Ritz,2012-01-01,4626.87,Diesel
Ritz,2011-01-01,3507.46,Petrol
Swift,2014-01-01,7388.06,Diesel
Ertiga,2014-01-01,8955.22,Diesel
Dzire,2014-01-01,8208.96,Diesel
Sx4,2011-01-01,4402.99,CNG
Dzire,2015-01-01,6940.3,Petrol
800,2003-01-01,522.39,Petrol
Alto K10,2016-01-01,4477.61,Petrol
Sx4,2003-01-01,3358.21,Petrol
Baleno,2016-01-01,8731.34,Petrol
Alto K10,2014-01-01,3805.97,Petrol
Sx4,2008-01-01,2910.45,Petrol
Dzire,2014-01-01,8208.96,Diesel
Omni,2012-01-01,1865.67,Petrol
Ciaz,2014-01-01,11194.03,Petrol
Ritz,2013-01-01,3955.22,Petrol
Wagon R,2006-01-01,1567.16,Petrol
Ertiga,2015-01-01,8656.72,Petrol
Ciaz,2017-01-01,11567.16,Petrol
Fortuner,2012-01-01,22238.81,Diesel
Fortuner,2015-01-01,34328.36,Diesel
Innova,2017-01-01,26865.67,Diesel
Fortuner,2013-01-01,23880.6,Diesel
Innova,2005-01-01,4104.48,Petrol
Corolla Altis,2009-01-01,5373.13,Petrol
Etios Cross,2015-01-01,6716.42,Petrol
Corolla Altis,2010-01-01,7089.55,Petrol
Etios G,2014-01-01,6119.4,Petrol
Fortuner,2014-01-01,29835.82,Diesel
Etios Liva,2014-01-01,5895.52,Diesel
Corolla Altis,2011-01-01,6716.42,Diesel
Corolla Altis,2013-01-01,11119.4,Petrol
Etios Liva,2011-01-01,3955.22,Petrol
Etios Cross,2014-01-01,7313.43,Diesel
Etios G,2015-01-01,5895.52,Petrol
Corolla Altis,2013-01-01,8208.96,Petrol
Corolla,2004-01-01,2238.81,Petrol
Corolla Altis,2010-01-01,7835.82,Petrol
Fortuner,2012-01-01,21641.79,Diesel
Corolla Altis,2013-01-01,10373.13,Petrol
Etios Cross,2015-01-01,6716.42,Petrol
Fortuner,2014-01-01,27985.07,Diesel
Fortuner,2015-01-01,35074.63,Diesel
Fortuner,2017-01-01,49253.73,Diesel
Etios Liva,2014-01-01,7089.55,Diesel
Innova,2017-01-01,29477.61,Petrol
Fortuner,2010-01-01,13805.97,Diesel
Corolla Altis,2011-01-01,6492.54,Petrol
Corolla Altis,2016-01-01,21268.66,Petrol
Corolla Altis,2016-01-01,21985.07,Diesel
Etios Gd,2015-01-01,7089.55,Diesel
Innova,2017-01-01,34328.36,Diesel
Innova,2015-01-01,18656.72,Diesel
Innova,2005-01-01,5208.96,Diesel
Camry,2006-01-01,3731.34,Petrol
Land Cruiser,2010-01-01,52238.81,Diesel
Corolla Altis,2012-01-01,8805.97,Petrol
Etios Liva,2013-01-01,5149.25,Petrol
Etios G,2014-01-01,7089.55,Petrol
